sku,nom,categorie,price,desc,currency,source,name_length,name_word_count,brand_detected,has_quantity,price_log,price_bucket,category_freq,is_premium_category
MYM-0007,schär galettes souples wraps sans gluten schär 160g,alimentation,69.9,schär galettes souples wraps sans gluten schär 160g,MAD,MyMarket,51,8,0,1,4.2612704335380815,high,0.08565928777670838,0
MYM-0008,schär biscuits salés croustillants crackers multicéréales sans gluten schär 210g,alimentation,58.9,schär biscuits salés croustillants crackers multicéréales sans gluten schär 210g,MAD,MyMarket,80,10,0,1,4.092676505121403,medium,0.08565928777670838,0
MYM-0009,sebaa thé vert en grains lion 4011 ata sebaa 500g,alimentation,61.95,sebaa thé vert en grains lion 4011 ata sebaa 500g,MAD,MyMarket,49,10,0,1,4.142340760490356,high,0.08565928777670838,0
MYM-0010,sebaa thé vert de chine lion 4011 atay sebaa 100g,alimentation,11.7,sebaa thé vert de chine lion 4011 atay sebaa 100g,MAD,MyMarket,49,10,0,1,2.5416019934645457,low,0.08565928777670838,0
MYM-0011,chakour thé vert de chine extra-fin chakour 100g,alimentation,11.5,chakour thé vert de chine extra-fin chakour 100g,MAD,MyMarket,48,8,0,1,2.5257286443082556,low,0.08565928777670838,0
MYM-0012,chakour thé vert de chine extra fin gunpowder chakour 500g,alimentation,54.0,chakour thé vert de chine extra fin gunpowder chakour 500g,MAD,MyMarket,58,10,0,1,4.007333185232471,medium,0.08565928777670838,0
MYM-0013,schär biscuits salés crackers sans gluten schär 210g,alimentation,49.95,schär biscuits salés crackers sans gluten schär 210g,MAD,MyMarket,52,8,0,1,3.9308447596687337,medium,0.08565928777670838,0
MYM-0014,schär chips soufflée curvies paprika sans gluten schär 170g,alimentation,44.9,schär chips soufflée curvies paprika sans gluten schär 170g,MAD,MyMarket,59,9,0,1,3.8264651170664994,medium,0.08565928777670838,0
MYM-0015,schär curvies barbecue sans gluten schär 170g,alimentation,44.9,schär curvies barbecue sans gluten schär 170g,MAD,MyMarket,45,7,0,1,3.8264651170664994,medium,0.08565928777670838,0
MYM-0016,bjorg galettes de riz quinoa sans gluten bjorg 130g,alimentation,39.95,bjorg galettes de riz quinoa sans gluten bjorg 130g,MAD,MyMarket,51,9,0,1,3.7123518102990785,medium,0.08565928777670838,0
MYM-0017,bjorg galettes 4 céréales sans gluten pauvre en sel bjorg 130g,alimentation,36.0,bjorg galettes 4 céréales sans gluten pauvre en sel bjorg 130g,MAD,MyMarket,62,11,0,1,3.6109179126442243,medium,0.08565928777670838,0
MYM-0018,herr's chips soufflées sang gluten curls fromage bleu buffalo herr's 113g,alimentation,25.5,herr's chips soufflées sang gluten curls fromage bleu buffalo herr's 113g,MAD,MyMarket,73,11,0,1,3.2771447329921766,medium,0.08565928777670838,0
MYM-0019,lavazza café grain espresso intensité 5 oro lavazza 1kg,alimentation,390.0,lavazza café grain espresso intensité 5 oro lavazza 1kg,MAD,MyMarket,55,9,1,1,5.968707559985366,high,0.08565928777670838,0
MYM-0020,harvey 175g,alimentation,29.94,harvey 175g,MAD,MyMarket,11,2,0,1,3.43204984514492,medium,0.08565928777670838,0
MYM-0021,10 asta 200g,alimentation,17.5,10 asta 200g,MAD,MyMarket,12,3,0,1,2.917770732084279,low,0.08565928777670838,0
MYM-0022,samar café moulu intense et équilibré classic samar 90g,alimentation,19.0,samar café moulu intense et équilibré classic samar 90g,MAD,MyMarket,55,9,0,1,2.995732273553991,low,0.08565928777670838,0
MYM-0023,gavottes crêpes dentelle chocolat noir gavottes 90g,alimentation,46.55,gavottes crêpes dentelle chocolat noir gavottes 90g,MAD,MyMarket,51,7,0,1,3.8617817889913995,medium,0.08565928777670838,0
MYM-0024,mc vities 2 biscuits digestive original mcvities 33g,alimentation,2.2,mc vities 2 biscuits digestive original mcvities 33g,MAD,MyMarket,52,8,0,1,1.1631508098056809,low,0.08565928777670838,0
MYM-0001,don simon nectar pina colada don simón 33,alimentation,8.0,don simon nectar pina colada don simón 33,MAD,MyMarket,41,8,0,0,2.1972245773362196,low,0.08565928777670838,0
MYM-0002,don simon jus multivitamines don simon disfruta 1l,alimentation,14.2,don simon jus multivitamines don simon disfruta 1l,MAD,MyMarket,50,8,0,1,2.7212954278522306,low,0.08565928777670838,0
MYM-0003,don simon jus orange don simon disfruta 1l,alimentation,15.0,don simon jus orange don simon disfruta 1l,MAD,MyMarket,42,8,0,1,2.772588722239781,low,0.08565928777670838,0
MYM-0004,don simon jus à la pêche don simon disfruta 1l,alimentation,14.2,don simon jus à la pêche don simon disfruta 1l,MAD,MyMarket,46,10,0,1,2.7212954278522306,low,0.08565928777670838,0
MYM-0005,don simon jus ananas don simon disfruta 1l,alimentation,15.0,don simon jus ananas don simon disfruta 1l,MAD,MyMarket,42,8,0,1,2.772588722239781,low,0.08565928777670838,0
MYM-0006,mondariz eau minérale gazeuse mondariz 33cl,alimentation,9.3,mondariz eau minérale gazeuse mondariz 33cl,MAD,MyMarket,43,6,0,1,2.33214389523559,low,0.08565928777670838,0
MYM-0007,mondariz eau minérale gazeuse bouteille en verre mondariz 75cl,alimentation,12.1,mondariz eau minérale gazeuse bouteille en verre mondariz 75cl,MAD,MyMarket,62,9,0,1,2.5726122302071057,low,0.08565928777670838,0
